size,room,year,floor,top_floor,price
65,3,1952,1,2,15850000
58,3,1968,4,5,16850000
65,3,1975,4,5,19350000
75,2,2007,9,20,32000000
65,3,1978,2,5,20000000
66,3,1973,4,5,20250000
70,3,1969,3,9,20000000
45,2,1980,4,5,16850000
45,2,1970,2,4,14850000
40,2,1963,4,4,15350000
44,2,1975,4,5,14500000
40,2,1965,3,4,13500000
43,2,1975,2,4,14000000
40,2,1966,3,4,12500000
50,2,1963,2,3,14800000
43,2,1980,2,5,15350000
45,2,1966,4,4,13350000
45,2,1962,4,4,13400000
45,2,1981,5,5,14000000
43,2,1974,5,5,12500000
38,2,1962,2,4,11850000
48,2,1987,3,5,21500000
43,2,1975,4,4,14350000
18,1,1974,5,5,6000000
59,3,1963,3,4,19000000
47,2,1968,5,5,21000000
45,2,1962,1,4,15000000
50,2,1979,4,5,20000000
59,2,1979,2,5,18500000
50,2,1956,1,3,18500000
39,2,1963,3,4,13500000
45,2,1985,1,5,20000000
332,6,2014,7,7,129200000
224,4,2014,7,7,91000000
60,1,2011,6,18,17500000
57,2,1989,1,9,15500000
55,3,1971,2,4,18350000
65,3,1978,1,5,20000000
60,3,1984,2,5,17500000
61,3,1980,4,5,16350000
34,1,1985,3,5,17200000
59,3,1978,2,5,17350000
62,3,1968,4,4,17350000
55,3,1979,5,5,14900000
60,3,1980,4,5,19680000
57,3,1972,2,5,17350000
60,3,1973,1,5,17850000
62,3,1974,5,5,17500000
61,3,1972,3,4,19300000
65,3,1985,7,9,25000000
61,3,1978,5,5,17850000
54,2,1980,5,5,19500000
116,3,2012,4,18,43500000
79,4,1975,3,5,32000000
55,3,1971,2,4,18350000
68,3,1989,5,8,28500000
60,3,1984,2,5,17500000
74,3,1967,1,4,26001000
100,3,2014,12,18,30500000
70,3,1982,5,5,24000000
59,3,1978,2,5,17350000
75,3,1980,4,5,18500000
52,2,1987,5,9,19500000
40,1,1992,2,9,12300000
78,3,1985,3,4,19300000
75,3,1985,3,4,22000000
43,2,1980,2,5,14000000
31,1,1978,1,5,11000000
28,1,1974,2,4,9500000
56,3,1993,2,6,21600000
32,1,1970,4,4,12400000
56,2,1983,6,9,17850000
42,2,1978,4,5,15300000
66,3,1985,7,9,23400000
70,3,1975,1,4,24300000
49,2,2017,11,16,17640000
39,1,1985,3,4,9700000
87,3,2007,15,18,26900000
70,3,1975,1,4,24300000
70,3,1974,5,5,23500000
72,4,1973,4,5,21800000
43,2,1974,5,5,12500000
60,3,1980,4,5,19680000
42,2,1985,1,5,15300000
44,2,1973,3,5,15300000
45,2,1980,3,5,17800000
53,2,1982,4,5,18500000
54,2,1983,5,9,15800000
54,2,1980,4,7,18800000
52,2,1988,4,9,18200000
30,1,1968,4,4,10300000
60,3,1973,1,5,17850000
41,1,1990,6,9,12000000
62,3,1974,5,5,17500000
61,3,1972,3,4,19300000
36,1,1988,2,5,13800000
35,1,1990,5,5,12000000
34,1,1991,2,5,15974000
61,3,1978,5,5,17850000
31,1,1975,2,5,10500000
31,1,1987,1,5,11000000
41,1,1990,6,9,12000000
20,1,1975,3,5,6190000
